level_a,level_b,mode,instances,a_better,b_better,avg_rank_diff,avg_score_diff,avg_grade_diff
10301,10302,9,36970,17896,19074,0.0608,-892.56,0.14
10301,10303,9,68073,31469,36604,0.1513,-2310.59,-2.99
10301,10401,9,10530,4819,5711,0.1775,-2580.53,4.17
10301,10402,9,3101,1391,1710,0.1948,-3085.42,4.61
10301,10403,9,1684,743,941,0.2512,-3941.15,2.22
10302,10303,9,85058,40469,44589,0.0986,-1457.23,-3.97
10302,10401,9,12914,5951,6963,0.1467,-2170.13,1.77
10302,10402,9,3693,1666,2027,0.1828,-2747.90,-0.61
10302,10403,9,1985,865,1120,0.2186,-3343.38,-0.26
10303,10401,9,24258,11894,12364,0.0418,-637.26,6.54
10303,10402,9,7265,3532,3733,0.0636,-1136.32,6.93
10303,10403,9,3978,1900,2078,0.1001,-1467.50,4.16
10401,10402,12,390543,187890,202653,0.0744,-1011.62,-5.67
10401,10403,12,247695,115937,131758,0.1284,-1706.86,-9.13
10401,10501,12,153364,70984,82380,0.1464,-1966.97,-8.71
10401,10502,12,121223,55129,66094,0.1846,-2476.88,-10.81
10401,10503,12,74665,33241,41424,0.2221,-2859.92,-12.97
10402,10403,12,127727,61883,65844,0.0593,-820.46,-4.19
10402,10501,12,78487,38059,40428,0.0629,-935.24,-1.82
10402,10502,12,62601,29636,32965,0.1029,-1339.62,-3.53
10402,10503,12,38581,17854,20727,0.1458,-1894.19,-7.14
10403,10501,12,50260,24839,25421,0.0260,-440.05,-0.23
10403,10502,12,39769,19223,20546,0.0596,-828.26,-1.63
10403,10503,12,24407,11642,12765,0.0901,-951.57,-2.50
10501,10502,16,99115,48697,50418,0.0347,-476.62,-0.89
10501,10503,16,28547,13932,14615,0.0500,-618.35,0.35
10501,10701,16,267107,128370,138737,0.0788,-866.70,-14.47
10502,10503,16,11392,5592,5800,0.0210,-287.32,-0.54
10502,10701,16,106737,52303,54434,0.0404,-446.98,-14.35
10503,10701,16,30745,15020,15725,0.0450,-434.10,-18.19
10701,10702,16,151469,75577,75892,0.0032,-64.65,-0.07
10701,10703,16,74044,36719,37325,0.0221,-338.16,-1.14
10701,10704,16,47642,23443,24199,0.0307,-389.49,-1.75
10701,10705,16,32877,16255,16622,0.0237,-243.18,-0.67
10701,10706,16,26453,13070,13383,0.0266,-205.03,-1.32
10701,10707,16,17729,8731,8998,0.0244,-323.86,-1.29
10701,10708,16,12709,6141,6568,0.0618,-585.05,-2.49
10701,10709,16,10449,5127,5322,0.0416,-465.92,-1.40
10701,10710,16,8882,4351,4531,0.0395,-514.35,-1.61
10701,10711,16,5316,2601,2715,0.0356,-292.57,-2.01
10701,10712,16,7842,3792,4050,0.0641,-869.55,-2.12
10701,10713,16,4795,2343,2452,0.0588,-943.38,-2.94
10701,10714,16,3739,1791,1948,0.0760,-841.48,-2.90
10701,10715,16,3085,1529,1556,0.0191,-395.88,-1.06
10701,10716,16,2811,1374,1437,0.0494,-709.00,-1.93
10701,10717,16,1789,885,904,0.0430,-610.68,-2.45
10701,10718,16,1993,978,1015,0.0758,-1324.94,-1.94
10701,10719,16,1227,592,635,0.0717,-1334.39,-2.72
10701,10720,16,2675,1266,1409,0.1024,-1543.33,-4.31
